user,movie,rating,random
358,907,4,0.609631642
220,589,4,0.26397639
242,47,4,0.651379908
396,724,4,0.573636701
128,434,5,0.561491558
184,377,4,0.248557071
159,367,1.5,0.943860341
388,330,3,0.501361278
593,316,3,0.250642909
351,908,5,0.512320812
85,590,3,0.573068953
187,953,3,0.203478742
533,25,1,0.602359311
505,910,3.5,0.745246628
607,277,3.5,0.478423478
73,337,3.5,0.224801809
633,380,2,0.67005
80,780,4,0.084623362
649,508,4,0.132901855
19,292,4,0.130155664
294,902,2,0.566275109
360,904,4,0.354578748
639,300,4,0.928053068
580,785,3.5,0.257637039
110,179,5,0.287343388
22,592,4.5,0.526173096
59,541,5,0.472116556
581,552,3,0.523305025
564,43,4,0.158805845
114,364,5,0.318761135
105,305,2,0.266102408
382,838,3,0.066176967
318,788,3,0.129329552
564,35,2,0.718724652
517,377,5,0.542325912
214,10,3,0.347608039
311,945,2,0.990478735
412,339,4,0.601493036
241,316,3,0.905081245
290,111,4,0.726673302
547,728,3,0.666652626
126,10,3,0.383145077
115,2,5,0.526857537
430,592,3.5,0.047600881
496,450,4,0.274680122
453,258,4,0.092117127
73,333,2,0.781695584
513,480,4,0.184590691
237,590,1,0.78281018
659,190,2,0.241032567
278,750,4,0.742947736
510,515,4,0.599694541
466,678,4,0.061001921
146,344,2.5,0.218355597
654,317,4,0.176473676
361,100,3,0.580475563
367,95,4,0.691157352
415,780,4,0.940433232
212,337,3.5,0.58653978
115,520,4,0.707289287
487,367,3,0.766068161
667,21,3,0.416860885
126,595,4,0.971000151
86,468,3,0.714860919
650,5,3,0.470539796
19,780,3,0.620370673
487,261,5,0.737325791
508,141,4,0.188828417
192,594,5,0.34005913
534,288,3,0.138874185
505,52,3,0.875812931
546,216,5,0.08941792
666,344,4,0.871623325
311,329,2,0.89270825
86,539,3,0.822946419
145,292,4,0.061095182
468,904,4,0.800219149
57,608,5,0.045517732
648,318,4.5,0.623347266
128,802,4,0.095581855
311,420,0.5,0.842620024
537,369,4,0.816200378
41,610,3,0.404796571
73,500,3.5,0.077719073
113,2,5,0.906070759
564,22,5,0.081176769
624,596,4,0.558987234
450,29,4.5,0.545137746
122,527,3,0.671409899
121,440,5,0.358219439
285,63,2,0.285618488
94,161,3.5,0.427992654
345,587,2,0.154538223
361,788,4,0.426654361
182,79,3,0.446994773
545,262,1,0.516446916
431,1,4.5,0.314888154
101,457,3.5,0.923463164
44,3,5,0.9808023
265,650,2,0.916429446
510,84,4,0.476393336
128,788,4,0.75223085
423,52,3.5,0.168610266
155,198,4,0.921367111
416,74,3,0.603851124
641,10,3,0.696216936
648,288,4.5,0.832351773
409,331,4,0.144903005
102,971,4,0.080380252
461,110,4,0.062858726
402,780,4,0.784581081
40,50,4.5,0.823767062
217,135,3.5,0.280490063
590,2,3,0.699851758
629,610,3,0.353211351
36,31,3,0.519588226
503,593,4,0.522774324
313,589,3.5,0.399851851
434,589,4,0.191819972
464,165,4,0.331420631
518,172,3,0.163343185
224,288,5,0.828933051
268,919,5,0.085819679
496,150,4,0.853771395
161,480,4,0.249427203
83,266,5,0.175176589
254,147,3,0.100565352
399,588,3,0.351140876
407,608,5,0.830006558
455,344,4.5,0.728729798
110,587,5,0.730630556
48,595,3.5,0.034651713
505,922,4,0.553827961
385,266,3,0.197568046
441,590,3.5,0.658918332
144,420,1,0.467911688
463,339,3,0.774800074
17,541,5,0.065034107
55,608,3,0.315272332
150,227,2.5,0.478656827
213,590,1,0.577618256
381,25,5,0.642781526
552,592,3,0.887380387
232,801,4,0.350469393
254,846,4,0.531454504
442,589,4,0.768896547
463,908,4,0.980202872
453,694,2,0.728657521
564,278,5,0.482540671
534,742,3,0.090412427
152,208,1.5,0.348586118
533,780,4,0.506927301
585,39,4,0.321303358
360,161,5,0.734924101
112,18,3,0.848893038
602,60,3,0.459376001
308,261,4,0.230656173
243,370,2.5,0.379339351
608,10,3,0.702112117
172,377,3,0.19055431
549,50,4.5,0.033684021
8,589,4,0.710164676
243,919,4,0.364552192
548,234,3,0.556633921
312,527,5,0.977234469
440,491,5,0.780973072
430,318,5,0.401676798
380,832,4,0.367610389
90,25,2,0.568781509
573,596,4,0.96879888
212,971,4,0.091891454
564,371,3,0.498979698
70,637,3,0.654840753
533,111,3,0.821068697
119,47,5,0.877591529
408,356,3,0.09237741
142,904,3,0.744820759
313,457,4.5,0.474587568
562,318,5,0.959133092
355,527,4,0.413731421
564,593,5,0.337893393
534,161,5,0.631406248
509,592,2,0.245016325
603,317,2,0.654271475
509,477,3,0.439640857
420,562,4,0.008726913
564,73,2,0.096583596
188,60,4,0.593005245
387,952,3,0.004492336
628,555,3.5,0.314537759
212,916,3.5,0.358414017
294,468,4,0.830845374
165,181,1,0.457732681
434,280,4,0.216064733
564,509,5,0.825183022
400,592,4,0.896843279
496,454,3,0.690365044
388,188,2,0.948099818
390,204,3,0.97440568
235,780,1.5,0.092123773
509,902,3.5,0.966729197
564,798,4,0.371389555
453,44,4,0.609736618
245,46,3,0.868839731
88,141,4.5,0.019246706
452,913,5,0.702025737
135,104,3,0.07345919
317,454,4,0.906839742
95,222,4,0.208081721
480,653,4.5,0.826188278
536,352,3,0.121020922
520,648,3.5,0.58285155
15,232,4,0.297472455
213,783,2.5,0.863918025
119,595,4,0.062146611
321,21,5,0.582923769
577,585,4,0.555419024
593,500,4,0.230292539
380,45,3,0.119095654
654,107,4,0.286631369
602,85,5,0.227436005
21,589,5,0.328672044
390,667,2,0.227540061
152,380,3.5,0.852954152
174,246,1,0.865216409
630,904,5,0.298115046
605,357,3,0.287036927
295,39,4,0.603326255
30,508,5,0.079006906
654,17,4.5,0.463681291
300,589,4.5,0.939045073
213,89,3.5,0.51805227
311,531,2,0.907120674
468,590,3,0.46856398
551,997,3,0.97559178
552,590,3,0.270802964
56,778,4,0.970444801
68,457,4,0.524649654
518,914,4,0.607380659
361,9,3,0.068572091
15,785,3,0.859030041
548,308,3,0.789065712
388,105,2,0.780656951
388,538,4,0.753741095
486,260,5,0.579337756
420,531,3,0.724961418
216,318,5,0.666477705
47,344,3,0.956021664
343,605,4,0.991879589
619,553,4,0.304451392
575,339,5,0.838399137
457,16,3.5,0.9842742
268,50,3.5,0.840359526
662,420,3,0.339263404
70,613,5,0.589231506
263,62,3.5,0.955572921
275,589,5,0.43243976
55,708,3,0.442553069
502,337,4,0.235800589
614,260,4,0.516374904
383,198,3,0.101897033
124,350,4,0.618565104
619,225,2,0.424097708
457,485,1.5,0.735382372
385,10,3,0.660799686
560,10,4,0.473900608
457,786,1.5,0.06802288
381,697,4,0.993013779
293,247,2,0.430219883
383,640,3,0.990643749
547,932,2,0.052950415
520,500,3,0.776241017
564,296,5,0.909038289
665,590,4,0.965906507
569,910,5,0.584839328
537,907,5,0.751456488
173,673,4,0.1925747
19,332,3,0.864714072
396,372,2,0.050247177
306,282,3,0.896047742
580,164,3,0.783954974
275,231,5,0.738253758
636,17,3,0.95002275
187,448,3,0.162056688
564,450,3,0.316943499
467,341,4,0.109574608
390,673,1,0.511521047
311,185,2.5,0.42677488
77,111,4,0.958862819
152,924,4,0.602126271
82,160,2,0.500221719
564,342,5,0.240525702
589,780,4,0.521252563
357,203,4,0.007889355
306,914,4,0.300183478
177,76,2,0.77383196
55,733,4,0.06702942
15,555,4,0.558241256
575,355,1,0.348697589
95,86,4,0.939320564
240,965,4,0.630176993
19,799,3,0.392493417
641,339,5,0.730314507
